__v,_id,createdAt,dietCategoryName
0,62a6dcd39e5a3997387a078d,2022-06-13T06:44:35.822Z,Weight Loss
0,62a6ddc89e5a3997387a0799,2022-06-13T06:48:40.858Z,Weight Gain
0,62c7cb239d1955b3709180c8,2022-07-08T06:13:55.688Z,Muscle Gain
