__v,_id,createdAt,image,meals_id,name,quantity,updatedAt
0,62c7d0229d1955b37091819d,2022-07-08T06:35:14.461Z,1657262114458greenpepper.jpg,62a328f4f18de4569f7ab2b7,Green Pepper,1 Unit,2022-07-08T06:35:14.461Z
0,62c7d0439d1955b3709181a0,2022-07-08T06:35:47.734Z,1657262147723flourTortila.jpg,62a328f4f18de4569f7ab2b7,Flour Tortillas,6 Unit,2022-07-08T06:35:47.734Z
0,62c7d06d9d1955b3709181a3,2022-07-08T06:36:29.157Z,1657262189154cheese.jpg,62a328f4f18de4569f7ab2b7,Cheese,1/2 Cup,2022-07-08T06:36:29.157Z
0,62c7d0899d1955b3709181a6,2022-07-08T06:36:57.074Z,1657262217072peppeCrema.jpg,62a328f4f18de4569f7ab2b7,Smoky Red Pepper Crema,4 TableSpoon,2022-07-08T06:36:57.074Z
0,62c7d1909d1955b3709181c1,2022-07-08T06:41:20.431Z,1657262480428onion.jpg,62a329c8f18de4569f7ab2c2,Onion,1 Unit,2022-07-08T06:41:20.431Z
0,62c7d1c39d1955b3709181c4,2022-07-08T06:42:11.631Z,1657262531627chickpea.jpg,62a329c8f18de4569f7ab2c2,Chickpeas,13.4 Ounce,2022-07-08T06:42:11.631Z
0,62c7d1e19d1955b3709181c7,2022-07-08T06:42:41.085Z,1657262561082powder.jpg,62a329c8f18de4569f7ab2c2,Curry Powder,1 TableSpoon,2022-07-08T06:42:41.085Z
0,62c7d2059d1955b3709181ca,2022-07-08T06:43:17.667Z,1657262597665garamMasala.jpg,62a329c8f18de4569f7ab2c2,Garam Masala,1 TeaSpoon,2022-07-08T06:43:17.667Z
0,62c7d2319d1955b3709181cd,2022-07-08T06:44:01.218Z,1657262641215cocount.jpg,62a329c8f18de4569f7ab2c2,Coconut Milk,5 Ounce,2022-07-08T06:44:01.218Z
0,62c7d2569d1955b3709181d0,2022-07-08T06:44:38.954Z,1657262678952yougurt.jpg,62a329c8f18de4569f7ab2c2,Yogurt,2 TableSpoon,2022-07-08T06:44:38.954Z
